United	Unite	451	350	VBN 
Patent	Patent	1072	351	NN 
Patent	Patent	1839	376	NN 
BI	BI	2788	367	NNS 
et	et	809	466	FW 
Date	Date	1839	462	NN 
HAND	HAND	476	727	NN 
SEWING	SEW	642	727	NN 
NEEDLE	NEEDLE	868	727	NN 
et	et	2347	787	FW 
James	Jame	710	842	NNS 
Teresa	Teresa	1216	842	NN 
Alden	Alden	1227	903	NN 
NY	NY	908	966	NN 
cited	cite	1703	942	VBN 
examiner	examiner	1886	955	NN 
term	term	1319	1085	NN 
Primary	Primary	1656	1070	NN 
patent	patent	710	1144	NN 
extended	extend	1031	1138	VBN 
ABSTRACT	ABSTRACT	2130	1225	JJ 
hand	hand	1716	1329	NN 
sewing	sew	1836	1329	NN 
needle	needle	2002	1329	NN 
eliminating	eliminate	2236	1329	VBG 
requirement	requirement	2573	1329	NN 
hand	hand	1909	1390	NN 
sewing	sew	2029	1390	NN 
needle	needle	2194	1390	NN 
pass	pass	2572	1403	NN 
piece	piece	1659	1449	NN 
inventive	inventive	2094	1449	NN 
device	device	2302	1449	NN 
includes	include	2455	1449	VBZ 
elongate	elongate	2708	1449	VB 
body	body	1659	1510	NN 
eyelet	eyelet	2701	1510	NN 
Field	Field	476	1597	NN 
Search	Search	662	1597	NN 
positioned	position	1659	1570	VBN 
elongate	elongate	2098	1570	VB 
body	body	2281	1570	NN 
receiving	receive	2467	1570	NN 
length	length	2700	1570	NN 
wherein	wherein	1815	1631	NN 
eyelet	eyelet	2075	1631	NN 
separates	separate	2214	1636	NNS 
elongate	elongate	2495	1631	VB 
body	body	2682	1631	NN 
portion	portion	1799	1692	NN 
References	Reference	763	1773	NNS 
Cited	Cite	1017	1773	VBN 
elongate	elongate	2045	1751	VB 
body	body	2233	1751	NN 
comprised	comprise	2521	1751	VBN 
structure	structure	1916	1818	NN 
elongate	elongate	2708	1812	VB 
PATENT	PATENT	744	1870	NN 
DOCUMENTS	DOCUMENT	945	1870	NNS 
body	body	1659	1872	NN 
preferably	preferably	1855	1872	RB 
positioned	position	2094	1872	VBN 
center	center	2457	1878	NN 
SMith	SMith	865	2073	NN 
Drawing	Draw	2245	2068	NN 
Sheets	Sheet	2452	2068	NNS 
Patent	Patent	564	311	NN 
Sheet	Sheet	1604	338	NN 
Patent	Patent	555	315	NN 
Sheet	Sheet	1595	338	NN 
Patent	Patent	566	309	NN 
Sheet	Sheet	1607	339	NN 
e	e	992	4075	SYM 
Patent	Patent	550	318	NN 
Sheet	Sheet	1591	338	NN 
Patent	Patent	566	309	NN 
Sheet	Sheet	1607	339	NN 
l	l	0	0	NN 
Patent	Patent	571	305	NN 
Sheet	Sheet	1611	337	NN 
C	C	1876	2104	NN 
r	r	1876	2038	NN 
r	r	1876	1835	NN 
G	G	1876	1767	NN 
Lb	Lb	1876	1698	NN 
R	R	1876	1565	NN 
R	R	1876	1489	NN 
G	G	1876	1427	NN 
G	G	1876	1356	NN 
INN	INN	1876	1218	NN 
IX	IX	1880	1157	NN 
L	L	1875	1085	NN 
L	L	1875	1019	NN 
r	r	1878	3883	NN 
r	r	1878	3720	NN 
r	r	1876	3534	NN 
L	L	1876	3470	NN 
NG	NG	1878	3062	NN 
L	L	1878	2994	NN 
WiT	WiT	1878	2659	NN 
BI	BI	1772	340	NNS 
HAND	HAND	649	517	NN 
SEWING	SEW	816	517	NN 
NEEDLE	NEEDLE	1042	517	NN 
BACKGROUND	BACKGROUND	525	627	NN 
INVENTION	INVENTION	1096	627	NN 
Field	Field	446	719	NN 
Invention	Invention	705	719	NN 
invention	invention	658	791	NN 
relates	relate	872	791	VBZ 
hand	hand	1296	791	NN 
sewing	sew	1416	791	NN 
needles	needle	340	852	NNS 
specifically	specifically	733	852	RB 
relates	relate	1036	852	VBZ 
hand	hand	1296	852	NN 
sewing	sew	1416	852	NN 
needle	needle	340	912	NN 
eliminating	eliminate	566	912	VBG 
requirement	requirement	895	912	NN 
hand	hand	1462	912	NN 
sewing	sew	340	973	NN 
needle	needle	502	973	NN 
pass	pass	869	986	NN 
piece	piece	1187	973	NN 
Description	Description	446	1045	NN 
Prior	Prior	838	1045	RB 
Art	Art	952	1047	NN 
Sewing	Sew	392	1118	NN 
needles	needle	560	1118	NNS 
conventional	conventional	340	1178	JJ 
hand	hand	616	1178	NN 
sewing	sew	729	1178	NN 
needle	needle	887	1178	NN 
body	body	1149	1178	NN 
eyelet	eyelet	611	1239	NN 
attached	attach	759	1239	VBN 
body	body	1103	1239	NN 
opposite	opposite	1232	1238	NN 
user	user	698	1311	NN 
attaches	attach	800	1298	VBZ 
length	length	1013	1298	NN 
