United	Unite	341	330	VBN 
Patent	Patent	961	330	NN 
Patent	Patent	1880	354	NN 
Date	Date	1881	463	NN 
VINE	VINE	476	656	NN 
CUTTER	CUTTER	619	656	NN 
Marvin	Marvin	711	771	NN 
ABSTRACT	ABSTRACT	2130	740	JJ 
vine	vine	1708	842	NN 
cutter	cutter	1811	848	NN 
cutting	cut	2015	842	NN 
entangled	entangle	2172	842	JJ 
vines	vine	2384	842	NNS 
potato	potato	2562	848	NN 
plants	plant	2704	842	NNS 
front	front	1661	903	NN 
potato	potato	1871	909	NN 
harvester	harvester	2017	903	NN 
vines	vine	2451	903	NNS 
entangled	entangle	1660	964	JJ 
accumulated	accumulate	1988	964	VBN 
front	front	2449	964	NN 
portion	portion	2574	964	NN 
inventive	inventive	2142	1024	NN 
device	device	2358	1024	NN 
includes	include	2517	1024	VBZ 
frame	frame	2762	1024	NN 
pair	pair	1841	1085	NN 
upper	upper	1984	1098	JJ 
pair	pair	2425	1085	NN 
opposing	oppose	2569	1085	VBG 
lower	lower	2765	1085	JJR 
disc	disc	2011	1144	NN 
journaled	journal	2106	1144	VBN 
disc	disc	2799	1144	NN 
journaled	journal	1656	1205	VBN 
frame	frame	2022	1205	NN 
below	below	2162	1205	IN 
disc	disc	2497	1205	NN 
ground	grind	1660	1265	NN 
engaging	engage	1839	1265	VBG 
rim	rim	2059	1265	NN 
attached	attach	2164	1265	VBN 
motor	motor	2757	1271	NN 
Field	Field	476	1350	NN 
Search	Search	662	1350	NN 
mechanically	mechanically	1661	1326	RB 
connected	connect	1951	1326	VBN 
vertically	vertically	2335	1387	RB 
portion	portion	1659	1452	NN 
discs	disc	1994	1446	NNS 
overlap	overlap	2123	1446	VB 
juxtaposed	juxtapose	2490	1447	VBN 
pair	pair	1935	1507	NN 
discs	disc	2094	1507	NNS 
preferably	preferably	2213	1507	RB 
include	include	2441	1507	VBP 
plurality	plurality	2647	1507	NN 
MOP	MOP	1156	1562	VB 
notches	notch	1661	1567	NNS 
projecting	project	1840	1567	VBG 
respective	respective	2294	1567	JJ 
outer	outer	2525	1573	JJ 
References	Reference	763	1645	NNS 
Cited	Cite	1017	1645	VBN 
discs	disc	1756	1628	NNS 
rotate	rotate	1873	1634	VB 
differential	differential	2096	1628	NN 
depending	depend	1738	1689	VBG 
type	type	2154	1695	NN 
vines	vine	2309	1689	NNS 
ground	grind	2736	1689	NN 
PATENT	PATENT	744	1744	NN 
DOCUMENTS	DOCUMENT	945	1744	NNS 
engaging	engage	1660	1748	VBG 
ring	ring	1869	1748	NN 
attached	attach	1973	1748	VBN 
disc	disc	2471	1748	NN 
determines	determine	2574	1748	VBZ 
Cb	Cb	921	1843	NN 
depth	depth	1660	1809	NN 
penetration	penetration	1840	1809	NN 
disc	disc	2373	1809	NN 
preferably	preferably	1775	1869	RB 
rotate	rotate	1999	1875	VB 
opposite	opposite	2128	1869	NN 
lower	lower	2765	1869	JJR 
portion	portion	1659	1930	NN 
disc	disc	2100	1930	NN 
rotating	rotate	2194	1930	VBG 
movement	movement	2539	1936	NN 
x	x	1526	2004	SYM 
frame	frame	1661	1989	NN 
respect	respect	1904	1995	NN 
ground	grind	2200	1989	NN 
Primary	Primary	336	2094	NN 
Lee	Lee	895	2094	NN 
Drawing	Draw	2245	2092	NN 
Sheets	Sheet	2452	2092	NNS 
Patent	Patent	555	330	NN 
Sheet	Sheet	1749	353	NN 
Patent	Patent	555	330	NN 
Sheet	Sheet	1749	353	NN 
CIT	CIT	691	2121	NN 
C	C	2233	2348	NN 
K	K	2021	2381	NN 
VINE	VINE	771	517	NN 
CUTTER	CUTTER	915	517	NN 
BACKGROUND	BACKGROUND	525	630	NN 
INVENTION	INVENTION	1096	630	NN 
Field	Field	446	724	NN 
Invention	Invention	704	724	NN 
invention	invention	645	797	NN 
relates	relate	850	797	VBZ 
potato	potato	1254	803	NN 
devices	device	421	858	NNS 
specifically	specifically	801	858	RB 
relates	relate	1095	858	VBZ 
vine	vine	1338	858	NN 
cutter	cutter	1444	864	NN 
cutting	cut	421	918	NN 
entangled	entangle	583	918	JJ 
vines	vine	802	918	NNS 
potato	potato	997	923	NN 
plants	plant	1145	918	NNS 
front	front	1352	918	NN 
potato	potato	339	984	NN 
harvester	harvester	483	979	NN 
vines	vine	915	979	NNS 
entangled	entangle	1363	979	JJ 
accumulated	accumulate	426	1040	VBN 
front	front	835	1040	NN 
portion	portion	942	1040	NN 
potato	potato	1225	1046	NN 
potato	potato	435	1117	NN 
harvester	harvester	574	1111	NN 
typically	typically	771	1111	RB 
harvests	harvest	961	1111	NNS 
rows	row	1227	1124	NNS 
potatoes	potato	1390	1117	NNS 
vines	vine	844	1172	NNS 
neighboring	neighboring	1085	1172	VBG 
rows	row	1348	1185	NNS 
grow	grow	455	1246	VB 
pair	pair	794	1233	NN 
rows	row	949	1246	NNS 
harvested	harvest	1194	1233	VBN 
causing	cause	1405	1233	VBG 
entangled	entangle	703	1292	JJ 
portions	portion	1245	1292	NNS 
potato	potato	339	1359	NN 
entangled	entangle	840	1353	JJ 
vines	vine	1070	1353	NNS 
uproot	uproot	1330	1359	NN 
attached	attach	341	1413	VBN 
tubers	tuber	537	1413	NNS 
tubers	tuber	1054	1413	NNS 
damaged	damage	1297	1413	VBN 
entangled	entangle	772	1474	JJ 
vines	vine	979	1474	NNS 
accumulate	accumulate	1101	1474	VB 
portions	portion	339	1535	NNS 
potato	potato	640	1541	NN 
harvester	harvester	779	1535	NN 
requiring	require	977	1535	VBG 
operator	operator	1246	1541	NN 
stop	stop	1475	1541	NN 
potato	potato	427	1600	NN 
harvester	harvester	582	1594	NN 
cleaning	clean	881	1594	NN 
accumulated	accumulate	1171	1594	VBN 
vines	vine	1451	1594	NNS 
sun	sun	556	1668	NN 
damaged	damage	638	1655	VBN 
tubers	tuber	832	1655	NNS 
separated	separate	1184	1655	VBN 
undamaged	undamaged	339	1715	JJ 
tubers	tuber	604	1715	NNS 
unrecoverable	unrecoverable	953	1715	JJ 
viable	viable	1435	1715	JJ 
vines	vine	1191	1776	NNS 
surrounding	surround	1314	1776	VBG 
harvested	harvest	416	1835	VBN 
pair	pair	623	1835	NN 
rows	row	774	1848	NNS 
cut	cut	948	1841	NN 
vines	vine	1212	1835	NNS 
adjacent	adjacent	1392	1835	JJ 
rows	row	340	1909	NNS 
tubers	tuber	690	1896	NNS 
properly	properly	990	1896	RB 
dug	dig	1184	1896	VBN 
potato	potato	1432	1902	NN 
Conventional	Conventional	393	2028	JJ 
vine	vine	676	2028	NN 
cutters	cutter	778	2034	NNS 
comprise	comprise	926	2028	VB 
single	single	1161	2028	JJ 
disc	disc	1296	2028	NN 
attached	attach	1392	2028	VBN 
potato	potato	471	2095	NN 
harvester	harvester	613	2089	NN 
rotates	rotate	955	2095	NNS 
movement	movement	1288	2095	NN 
potato	potato	419	2156	NN 
ground	grind	873	2151	NN 
penetration	penetration	1034	2150	NN 
disc	disc	1421	2150	NN 
combination	combination	340	2210	NN 
rotating	rotate	778	2210	VBG 
cuts	cut	946	2216	NNS 
